frame,visibility_0,visibility_1,visibility_2,visibility_3,visibility_4,visibility_5,visibility_6,visibility_7,visibility_8,visibility_9,visibility_10,visibility_11,visibility_12,visibility_13,visibility_14,visibility_15,visibility_16,visibility_17,visibility_18,visibility_19,visibility_20,visibility_21,visibility_22,visibility_23,visibility_24,visibility_25,visibility_26,visibility_27,visibility_28,visibility_29,visibility_30,visibility_31,visibility_32,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,y_0,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,y_27,y_28,y_29,y_30,y_31,y_32,z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_17,z_18,z_19,z_20,z_21,z_22,z_23,z_24,z_25,z_26,z_27,z_28,z_29,z_30,z_31,z_32
1,0.9990953207015991,0.99847012758255,0.9985955357551575,0.9986464381217957,0.998024582862854,0.9981491565704346,0.9982428550720215,0.9975422620773315,0.9980300068855286,0.9993277788162231,0.9996837377548218,0.9998552799224854,0.999975323677063,0.7103023529052734,0.9964959025382996,0.6644780039787292,0.9845276474952698,0.6530773639678955,0.968542218208313,0.6626574397087097,0.9677359461784363,0.6361284255981445,0.9492617249488831,0.9998694658279419,0.9998338222503662,0.9494712352752686,0.9980410933494568,0.9647017121315002,0.9967026114463806,0.9538532495498657,0.9818025231361389,0.967137336730957,0.9957658052444458,0.14675672352313995,0.1476682722568512,0.149788960814476,0.15108627080917358,0.14170323312282562,0.13989512622356415,0.1379709541797638,0.1489722579717636,0.13199332356452942,0.1504506766796112,0.14251534640789032,0.164005309343338,0.11640272289514542,0.16779738664627075,0.11804793775081635,0.18454480171203613,0.1600315421819687,0.19330444931983948,0.1687975823879242,0.19233965873718262,0.17373862862586975,0.18844017386436462,0.17157970368862152,0.1512276977300644,0.12236137688159943,0.20884278416633606,0.18884168565273285,0.20632986724376678,0.18916678428649902,0.19716602563858032,0.1817719042301178,0.23436883091926575,0.2187349498271942,0.5351604223251343,0.524681806564331,0.524738073348999,0.5246625542640686,0.5250646471977234,0.5253554582595825,0.5257935523986816,0.5259000062942505,0.5303811430931091,0.5448963046073914,0.544589638710022,0.5730138421058655,0.574791669845581,0.6385602355003357,0.6537746787071228,0.6778057217597961,0.6914157867431641,0.6910610198974609,0.7043843865394592,0.689376175403595,0.6991413831710815,0.6860029697418213,0.6946545243263245,0.6936793923377991,0.6982941031455994,0.7212621569633484,0.7265317440032959,0.8254082202911377,0.8458470106124878,0.8387329578399658,0.8602147698402405,0.8467646837234497,0.8660661578178406,-0.15215463936328888,-0.14228036999702454,-0.14234688878059387,-0.14239244163036346,-0.15339718759059906,-0.15341809391975403,-0.15347443521022797,-0.07079409062862396,-0.11901118606328964,-0.12240572273731232,-0.1364077925682068,0.023153536021709442,-0.1342020332813263,0.020812097936868668,-0.1608525812625885,-0.09485544264316559,-0.1890992522239685,-0.11676057428121567,-0.21510140597820282,-0.1364055722951889,-0.21993060410022736,-0.10669262707233429,-0.19037938117980957,0.05711100623011589,-0.05698133632540703,-0.06989078968763351,-0.1988140344619751,-0.02000753954052925,-0.1543903648853302,-0.01832401007413864,-0.15126855671405792,-0.07785657793283463,-0.2193451225757599
2,0.9989418983459473,0.9983258843421936,0.9984732866287231,0.9985658526420593,0.9978535175323486,0.9979564547538757,0.9980818629264832,0.9975003600120544,0.9978410005569458,0.9992364048957825,0.99962317943573,0.999841034412384,0.9999687671661377,0.6962904334068298,0.9961913228034973,0.6607887744903564,0.9841146469116211,0.6486408114433289,0.9681769609451294,0.6582125425338745,0.9673073887825012,0.6311896443367004,0.9485071897506714,0.9998530745506287,0.9998109936714172,0.9490398168563843,0.9980725049972534,0.9635003805160522,0.996691882610321,0.952527642250061,0.9816262722015381,0.9664009809494019,0.9957453012466431,0.1483076512813568,0.1478758156299591,0.14972609281539917,0.15077032148838043,0.14302575588226318,0.1413773000240326,0.1392136514186859,0.14817944169044495,0.13385888934135437,0.15118683874607086,0.1449888050556183,0.16208961606025696,0.11760963499546051,0.16527919471263885,0.11793066561222076,0.18403401970863342,0.15900905430316925,0.19083717465400696,0.16735300421714783,0.1902647763490677,0.1734035164117813,0.18665635585784912,0.1713537871837616,0.14787976443767548,0.11921828985214233,0.2089364230632782,0.18670928478240967,0.20644386112689972,0.1886623203754425,0.1978122442960739,0.1806514412164688,0.2343561351299286,0.21756093204021454,0.5325051546096802,0.5218769311904907,0.5208759307861328,0.5205668210983276,0.5229666829109192,0.5233825445175171,0.5238742828369141,0.5245773792266846,0.5291152596473694,0.5419255495071411,0.5418415665626526,0.5700695514678955,0.5751058459281921,0.6360920667648315,0.6529691815376282,0.6780513525009155,0.6913898587226868,0.6907322406768799,0.7043637633323669,0.6893543004989624,0.6989654302597046,0.6856197118759155,0.6940935254096985,0.6936260461807251,0.6995952129364014,0.7216102480888367,0.7272246479988098,0.824277937412262,0.8444958329200745,0.8389270901679993,0.8601082563400269,0.8469650745391846,0.8659909963607788,-0.09225086867809296,-0.08255873620510101,-0.08263100683689117,-0.08267548680305481,-0.0981832891702652,-0.09820491075515747,-0.09827320277690887,-0.02242550067603588,-0.09038905799388885,-0.06707338988780975,-0.08684822171926498,0.055272072553634644,-0.12656335532665253,0.0605459026992321,-0.15886002779006958,-0.031259335577487946,-0.17969587445259094,-0.04710964113473892,-0.20571942627429962,-0.06707576662302017,-0.2081914246082306,-0.042504653334617615,-0.18031272292137146,0.05884343385696411,-0.05868654325604439,-0.06253667175769806,-0.18112023174762726,-0.027355138212442398,-0.13847286999225616,-0.027563756331801414,-0.13493475317955017,-0.0824306309223175,-0.1900937855243683
3,0.9989346861839294,0.9983395934104919,0.9984986186027527,0.9985942840576172,0.9978969693183899,0.9980034828186035,0.9981250762939453,0.9975928664207458,0.9978814125061035,0.9992125034332275,0.9996064901351929,0.9998270869255066,0.9999661445617676,0.6833383440971375,0.9960936903953552,0.6610345840454102,0.9841073155403137,0.6472985148429871,0.9683709740638733,0.6569581627845764,0.967431366443634,0.6291574835777283,0.9484481811523438,0.9998143911361694,0.9997871518135071,0.9494097828865051,0.9981483817100525,0.9623188972473145,0.9967087507247925,0.9500378966331482,0.981590211391449,0.9654982089996338,0.9957146048545837,0.15016664564609528,0.1485726535320282,0.1499026119709015,0.15081225335597992,0.14469636976718903,0.14242106676101685,0.14064015448093414,0.1484001874923706,0.13519905507564545,0.1524220108985901,0.14688460528850555,0.1620924323797226,0.11807863414287567,0.16446135938167572,0.11631216108798981,0.18400073051452637,0.15834352374076843,0.19033019244670868,0.16671554744243622,0.18998213112354279,0.1733178198337555,0.18656635284423828,0.1712491661310196,0.1468925178050995,0.1184932142496109,0.20897869765758514,0.1862145960330963,0.2057914435863495,0.1877807080745697,0.19739243388175964,0.17880220711231232,0.23273451626300812,0.21682603657245636,0.5281029939651489,0.5182108283042908,0.517623782157898,0.5167351961135864,0.5195251107215881,0.5200360417366028,0.5206607580184937,0.5219846367835999,0.5271012187004089,0.5378116965293884,0.5378169417381287,0.5683618187904358,0.5744785070419312,0.6337324380874634,0.6493579149246216,0.6778380274772644,0.6899302005767822,0.690290629863739,0.7042650580406189,0.6890601515769958,0.6980323791503906,0.6852277517318726,0.692119836807251,0.6922499537467957,0.6997595429420471,0.7217243909835815,0.7274073362350464,0.8242147564888,0.8443324565887451,0.839712917804718,0.8602431416511536,0.847896933555603,0.8659901022911072,-0.1003771647810936,-0.0905785858631134,-0.09063830971717834,-0.09067945182323456,-0.10581868886947632,-0.1058475524187088,-0.10590611398220062,-0.030441265553236008,-0.09639032185077667,-0.07519914209842682,-0.09451710432767868,0.04982411488890648,-0.13062338531017303,0.06756335496902466,-0.1706077754497528,-0.007547228597104549,-0.19081322848796844,-0.01889202930033207,-0.2166302502155304,-0.04042583703994751,-0.21364697813987732,-0.01877114176750183,-0.18937836587429047,0.05896036699414253,-0.05879462510347366,-0.054158855229616165,-0.18358202278614044,-0.024966169148683548,-0.1523863524198532,-0.026072781533002853,-0.15090849995613098,-0.0746789500117302,-0.19650772213935852
4,0.9987696409225464,0.9981511831283569,0.998345673084259,0.9984695911407471,0.9976806640625,0.9977878928184509,0.9979279637336731,0.9974827766418457,0.9976751208305359,0.99912428855896,0.9995539784431458,0.9998019933700562,0.9999597072601318,0.6718449592590332,0.995785117149353,0.6593976020812988,0.9836357235908508,0.6463293433189392,0.9678951501846313,0.6560362577438354,0.9669302701950073,0.6284279227256775,0.9478818774223328,0.9997873306274414,0.9997605085372925,0.9496617317199707,0.9982040524482727,0.961053192615509,0.9967363476753235,0.9480768442153931,0.9816969633102417,0.9643644094467163,0.9957014322280884,0.1500888615846634,0.14857825636863708,0.14987501502037048,0.15074115991592407,0.14468839764595032,0.14238262176513672,0.14066720008850098,0.14833620190620422,0.13528841733932495,0.15238697826862335,0.1468447893857956,0.1620207130908966,0.11801286786794662,0.16462840139865875,0.11620229482650757,0.18403548002243042,0.15746377408504486,0.19018694758415222,0.16491638123989105,0.18992182612419128,0.1725626289844513,0.18653157353401184,0.17032313346862793,0.14616209268569946,0.11710015684366226,0.20887568593025208,0.18575705587863922,0.20494279265403748,0.18765923380851746,0.19687442481517792,0.17859318852424622,0.23161396384239197,0.2165740728378296,0.5266625881195068,0.5161515474319458,0.5158360004425049,0.5154125690460205,0.5172513127326965,0.5176916122436523,0.5182675719261169,0.5203798413276672,0.5257705450057983,0.5376362204551697,0.5371114015579224,0.5678991675376892,0.5742055177688599,0.632548451423645,0.6471462845802307,0.6784621477127075,0.6894375681877136,0.691422700881958,0.7042639255523682,0.6907635927200317,0.6980395913124084,0.6860130429267883,0.6920536160469055,0.6922696828842163,0.7006533741950989,0.721835732460022,0.7274047136306763,0.8241411447525024,0.8439271450042725,0.8401926755905151,0.860243022441864,0.8488714098930359,0.8660083413124084,-0.08629898726940155,-0.0760810375213623,-0.07615253329277039,-0.07619354128837585,-0.09032580256462097,-0.09035356342792511,-0.09042873978614807,-0.01580066606402397,-0.07787351310253143,-0.061472345143556595,-0.079511359333992,0.05597000569105148,-0.11747094243764877,0.05307004973292351,-0.16609647870063782,-0.04381834343075752,-0.1866266429424286,-0.06061692163348198,-0.21186551451683044,-0.08065307885408401,-0.2103370726108551,-0.05521146208047867,-0.18547195196151733,0.05902267247438431,-0.05885123088955879,-0.054855894297361374,-0.181008979678154,-0.024744044989347458,-0.145844966173172,-0.025340551510453224,-0.14325281977653503,-0.07486770302057266,-0.19671635329723358
5,0.99871426820755,0.9980313777923584,0.9982309341430664,0.9983434677124023,0.9975906014442444,0.9977049827575684,0.9978553652763367,0.9971883296966553,0.9975618124008179,0.9990163445472717,0.999511182308197,0.9997819662094116,0.9999563694000244,0.6572636365890503,0.9953028559684753,0.6541846394538879,0.9828919172286987,0.6407312154769897,0.9671393036842346,0.6502190232276917,0.966123104095459,0.6226307153701782,0.9465931057929993,0.999756932258606,0.9997507333755493,0.9500924348831177,0.9982404112815857,0.960344672203064,0.9968138337135315,0.9470348954200745,0.9819649457931519,0.9639363288879395,0.9957932233810425,0.15121564269065857,0.1501917690038681,0.1512516587972641,0.15206457674503326,0.14561107754707336,0.14344385266304016,0.14120641350746155,0.14921312034130096,0.13551519811153412,0.15396089851856232,0.1474507600069046,0.1621723771095276,0.11798395961523056,0.16380903124809265,0.11637415736913681,0.18381235003471375,0.15724435448646545,0.18983982503414154,0.1644316017627716,0.1897745132446289,0.17236699163913727,0.18622376024723053,0.170124351978302,0.14561106264591217,0.11682228744029999,0.2086205929517746,0.18379931151866913,0.2042941153049469,0.18717366456985474,0.19684377312660217,0.1781337559223175,0.23165877163410187,0.21525657176971436,0.5284788012504578,0.5162031650543213,0.5165616869926453,0.5161879062652588,0.5177305340766907,0.5181349515914917,0.5186558961868286,0.5206652879714966,0.525860071182251,0.5388249158859253,0.5385161638259888,0.5670570731163025,0.5743283629417419,0.6314729452133179,0.6475266814231873,0.6784595847129822,0.689507246017456,0.6919958591461182,0.7048619985580444,0.6918379068374634,0.6989282369613647,0.6863873600959778,0.692486584186554,0.6922881603240967,0.7018400430679321,0.7218291163444519,0.7275763750076294,0.8240883350372314,0.8439556360244751,0.8401839137077332,0.860399067401886,0.8481576442718506,0.8660098910331726,-0.11212754249572754,-0.1017443910241127,-0.1018325686454773,-0.10189391672611237,-0.11674517393112183,-0.11680986732244492,-0.11689058691263199,-0.03728710114955902,-0.10115015506744385,-0.08509314805269241,-0.10413758456707001,0.05172544717788696,-0.1315861940383911,0.05873589962720871,-0.16945549845695496,-0.017902415245771408,-0.19599613547325134,-0.03013267181813717,-0.22201994061470032,-0.05194618180394173,-0.22305846214294434,-0.029174381867051125,-0.19589297473430634,0.05899006128311157,-0.058819837868213654,-0.04413415491580963,-0.19948819279670715,0.002392875961959362,-0.17137756943702698,0.0038964212872087955,-0.16964727640151978,-0.04538758471608162,-0.23047645390033722
6,0.9987756609916687,0.9981200098991394,0.9983054995536804,0.9984021186828613,0.9977110624313354,0.9978214502334595,0.9979618787765503,0.9972729682922363,0.99769526720047,0.9990406036376953,0.9995273351669312,0.9997838735580444,0.9999544620513916,0.6532198786735535,0.9952369332313538,0.6579533219337463,0.9828603863716125,0.6430246829986572,0.9671196937561035,0.6522110104560852,0.9661045074462891,0.6247290372848511,0.9466276168823242,0.9997479915618896,0.9997506141662598,0.9517599940299988,0.9982700943946838,0.9606386423110962,0.996891975402832,0.9471407532691956,0.9821920394897461,0.9640054106712341,0.9958678483963013,0.15331850945949554,0.15219159424304962,0.15355044603347778,0.15452483296394348,0.14689789712429047,0.14481940865516663,0.14268964529037476,0.15131308138370514,0.13602933287620544,0.15559431910514832,0.14849106967449188,0.16224710643291473,0.1185474768280983,0.16394755244255066,0.11638972908258438,0.18377824127674103,0.15823130309581757,0.18990953266620636,0.16569383442401886,0.18982195854187012,0.17346246540546417,0.18624377250671387,0.17111068964004517,0.1450701653957367,0.11630085855722427,0.20863088965415955,0.1836129128932953,0.2035939246416092,0.18714390695095062,0.19625192880630493,0.1781972348690033,0.23175910115242004,0.2149619609117508,0.5323104858398438,0.519445538520813,0.5190964937210083,0.5181584358215332,0.5219209790229797,0.5223290920257568,0.5225937366485596,0.521439254283905,0.5279996395111084,0.5411592125892639,0.5418153405189514,0.5667912364006042,0.5747268795967102,0.631352424621582,0.6478081941604614,0.6779734492301941,0.6893965601921082,0.6919904351234436,0.7048987150192261,0.691446840763092,0.6989302039146423,0.6862888932228088,0.6925172209739685,0.692274808883667,0.7026923298835754,0.7208759188652039,0.7275458574295044,0.8233463168144226,0.843823254108429,0.8393580913543701,0.8603824973106384,0.846387505531311,0.8660180568695068,-0.15837039053440094,-0.14682736992835999,-0.14690004289150238,-0.1469588577747345,-0.15991733968257904,-0.15996921062469482,-0.1600295603275299,-0.07157100737094879,-0.1287187784910202,-0.12716810405254364,-0.1438453644514084,0.026528973132371902,-0.1479656994342804,0.05204930156469345,-0.17765554785728455,-0.024193396791815758,-0.19857263565063477,-0.0369502454996109,-0.2238752543926239,-0.05859870836138725,-0.22533313930034637,-0.035309016704559326,-0.1984347552061081,0.05790509656071663,-0.05774250626564026,-0.04796205088496208,-0.20732593536376953,0.0028674951754510403,-0.17050668597221375,0.005800665821880102,-0.16780662536621094,-0.04462172091007233,-0.2306148111820221
7,0.9984511733055115,0.9975258111953735,0.9977805614471436,0.9979074597358704,0.9971952438354492,0.997339129447937,0.9975370168685913,0.9964026808738708,0.9970827102661133,0.998539924621582,0.9992994666099548,0.9997357130050659,0.999934196472168,0.6369991898536682,0.9947919845581055,0.6597920656204224,0.982174813747406,0.6448439359664917,0.966391384601593,0.6542797684669495,0.9653019309043884,0.6266906261444092,0.9449768662452698,0.9996766448020935,0.9996879696846008,0.9498844742774963,0.9982534646987915,0.9584801197052002,0.9969430565834045,0.9442116618156433,0.9823043942451477,0.9629426598548889,0.9958776831626892,0.15651091933250427,0.15446104109287262,0.15522794425487518,0.15585976839065552,0.14908425509929657,0.14722634851932526,0.14526773989200592,0.15145644545555115,0.13851484656333923,0.1574137955904007,0.15042535960674286,0.16225312650203705,0.12012012302875519,0.16400495171546936,0.11935468763113022,0.18472452461719513,0.1619841605424881,0.1926295906305313,0.1688324511051178,0.19310393929481506,0.17668721079826355,0.18880997598171234,0.17397043108940125,0.1436644047498703,0.11555814743041992,0.20846541225910187,0.18347610533237457,0.20219686627388,0.1874896138906479,0.1955987960100174,0.17862378060817719,0.231761172413826,0.2167695015668869,0.5334190726280212,0.5213969945907593,0.5208315253257751,0.5197364687919617,0.5257191061973572,0.5263502597808838,0.5267640948295593,0.5222423672676086,0.5298051238059998,0.5421397686004639,0.5447638034820557,0.5660088658332825,0.5775384902954102,0.6282777786254883,0.647885262966156,0.6766021847724915,0.6893476247787476,0.6916487216949463,0.7050912380218506,0.6913878917694092,0.6994551420211792,0.6861603856086731,0.6927257180213928,0.69211345911026,0.7036788463592529,0.7193323373794556,0.7274524569511414,0.8199049830436707,0.8433805704116821,0.8365304470062256,0.8603060841560364,0.8431814312934875,0.8645865321159363,-0.15033389627933502,-0.14159756898880005,-0.14165961742401123,-0.14171424508094788,-0.15742720663547516,-0.1574777215719223,-0.1575492024421692,-0.07822071015834808,-0.15124911069869995,-0.1222924143075943,-0.14269563555717468,0.015857165679335594,-0.17174449563026428,0.0572805218398571,-0.19539514183998108,0.0017529514152556658,-0.2050546407699585,-0.004227929748594761,-0.2282528430223465,-0.02674800530076027,-0.22880378365516663,-0.008937121368944645,-0.20409145951271057,0.05877165123820305,-0.05865783244371414,-0.04594365879893303,-0.20291371643543243,0.010461955331265926,-0.15094368159770966,0.013815830461680889,-0.14614373445510864,-0.027669334784150124,-0.19606807827949524
8,0.9984901547431946,0.9975719451904297,0.9978301525115967,0.9979214668273926,0.9972535967826843,0.9974186420440674,0.9976018071174622,0.9964561462402344,0.9971773028373718,0.9985538721084595,0.9993113279342651,0.9997202157974243,0.999932050704956,0.6278765201568604,0.9948582053184509,0.6627148985862732,0.9824404120445251,0.6483398675918579,0.9668147563934326,0.6579195857048035,0.9657596349716187,0.6307743787765503,0.9457908868789673,0.9996212124824524,0.9996469616889954,0.9500394463539124,0.9983119964599609,0.9575332999229431,0.9970030188560486,0.9432380199432373,0.9827072620391846,0.9619810581207275,0.9958649277687073,0.15567991137504578,0.15501639246940613,0.15618009865283966,0.1572369635105133,0.1491188257932663,0.14716500043869019,0.1450204998254776,0.1552405208349228,0.13888895511627197,0.15777578949928284,0.15013323724269867,0.16539691388607025,0.1227901428937912,0.16562017798423767,0.1198454275727272,0.18630267679691315,0.16223600506782532,0.19384810328483582,0.16996102035045624,0.19464093446731567,0.17727775871753693,0.19043949246406555,0.1743476539850235,0.14395371079444885,0.11580967903137207,0.20853805541992188,0.18186308443546295,0.20158036053180695,0.18802429735660553,0.19499686360359192,0.17912894487380981,0.2303907871246338,0.2171025276184082,0.5347543954849243,0.5227717161178589,0.5218703150749207,0.5205749273300171,0.5279484391212463,0.5285951495170593,0.529072105884552,0.5224817991256714,0.5306975245475769,0.5428527593612671,0.5461574196815491,0.5659749507904053,0.5776597857475281,0.6286112070083618,0.648204505443573,0.6760894656181335,0.6895670294761658,0.6902968287467957,0.7055357694625854,0.6906277537345886,0.699560821056366,0.685094952583313,0.6927369236946106,0.6912158727645874,0.7035847306251526,0.7185527086257935,0.7274487614631653,0.8176072835922241,0.8423455953598022,0.8335289359092712,0.8584333658218384,0.8421778082847595,0.8626886010169983,-0.17478333413600922,-0.1663045734167099,-0.16636915504932404,-0.1664312332868576,-0.17656192183494568,-0.1766148805618286,-0.1766737699508667,-0.10024706274271011,-0.1456119269132614,-0.14644570648670197,-0.1593342423439026,-0.0013649973552674055,-0.16143374145030975,0.04106089472770691,-0.18743881583213806,-0.02128772810101509,-0.2065490037202835,-0.031744107604026794,-0.22964417934417725,-0.05353830009698868,-0.22955715656280518,-0.03224938362836838,-0.20549097657203674,0.05604672431945801,-0.055928803980350494,-0.0653209462761879,-0.19721993803977966,0.00539426738396287,-0.1519787758588791,0.005877540446817875,-0.14783789217472076,-0.04094208776950836,-0.2012290507555008
9,0.998551607131958,0.9976739287376404,0.9979240894317627,0.9980270862579346,0.9974073767662048,0.997558057308197,0.9977367520332336,0.9966807961463928,0.9973172545433044,0.9985778331756592,0.9993240833282471,0.9997106790542603,0.9999166131019592,0.6237301230430603,0.9947609305381775,0.6756389141082764,0.982453465461731,0.659960925579071,0.9671406149864197,0.6698600053787231,0.966072678565979,0.6427708268165588,0.946057915687561,0.9995452761650085,0.9995322227478027,0.9456310272216797,0.9982563257217407,0.952632486820221,0.9969100952148438,0.9368054866790771,0.9824284911155701,0.9589717388153076,0.9956383109092712,0.1653752624988556,0.16257457435131073,0.16301459074020386,0.1635798066854477,0.15937241911888123,0.15672916173934937,0.1550230085849762,0.1585465669631958,0.1466740071773529,0.16526830196380615,0.15966454148292542,0.16529032588005066,0.1263410896062851,0.1670922338962555,0.12097615003585815,0.18801483511924744,0.16278159618377686,0.19643889367580414,0.17194949090480804,0.19678416848182678,0.17922942340373993,0.19249263405799866,0.1758790910243988,0.1424776166677475,0.11467744410037994,0.20857751369476318,0.1819111555814743,0.20044445991516113,0.1887006014585495,0.192073255777359,0.1793191134929657,0.22893624007701874,0.21934258937835693,0.5314803719520569,0.5215064287185669,0.520798921585083,0.5191673040390015,0.5249979496002197,0.5255439877510071,0.5261346101760864,0.5223862528800964,0.5302677750587463,0.5415034890174866,0.5451763272285461,0.5659652352333069,0.5793073773384094,0.6264784932136536,0.6510000824928284,0.6729198098182678,0.6909536123275757,0.6849967241287231,0.7066637277603149,0.6864905953407288,0.6999380588531494,0.6826524138450623,0.6930599212646484,0.6899970769882202,0.703724205493927,0.7172512412071228,0.7273800373077393,0.8166983723640442,0.8404087424278259,0.834338366985321,0.8578583002090454,0.8413899540901184,0.8604583144187927,-0.11683633178472519,-0.1097063198685646,-0.10975340753793716,-0.10980836302042007,-0.13031861186027527,-0.13036060333251953,-0.13041193783283234,-0.062040843069553375,-0.14126472175121307,-0.09494833648204803,-0.12191282212734222,0.013359720818698406,-0.16925373673439026,0.08872445672750473,-0.19467228651046753,0.06693851947784424,-0.20420929789543152,0.06607026606798172,-0.22747650742530823,0.044437117874622345,-0.22817690670490265,0.05739053338766098,-0.20332559943199158,0.05919721722602844,-0.05909116193652153,-0.04090960696339607,-0.16701315343379974,0.009585471823811531,-0.1141626238822937,0.011712990701198578,-0.10888288170099258,-0.023018408566713333,-0.14778964221477509
10,0.9986106157302856,0.9977684617042542,0.9980130791664124,0.9981157779693604,0.9975313544273376,0.997671902179718,0.9978379011154175,0.9968847632408142,0.9974097013473511,0.9985700249671936,0.9993030428886414,0.9997126460075378,0.9998825192451477,0.6266192197799683,0.9946086406707764,0.6937422156333923,0.981996476650238,0.6771295666694641,0.9664554595947266,0.6868866086006165,0.9654195308685303,0.6599906086921692,0.945159912109375,0.999367892742157,0.9991376996040344,0.9370311498641968,0.9978453516960144,0.9403077960014343,0.9959268569946289,0.9227399826049805,0.9799138903617859,0.9496098160743713,0.994067370891571,0.17002087831497192,0.16828569769859314,0.16870130598545074,0.16907726228237152,0.1639142483472824,0.16083000600337982,0.15776672959327698,0.1628839075565338,0.14965927600860596,0.16979646682739258,0.1630420982837677,0.16542883217334747,0.13042588531970978,0.1696135252714157,0.126381978392601,0.19119882583618164,0.16737361252307892,0.1993878334760666,0.1776237189769745,0.19979701936244965,0.18441559374332428,0.1956721693277359,0.18171098828315735,0.1410341113805771,0.11457471549510956,0.20848026871681213,0.18493923544883728,0.20004451274871826,0.1888081431388855,0.19113460183143616,0.18012888729572296,0.22845003008842468,0.22184941172599792,0.532682478427887,0.5216419100761414,0.5208851099014282,0.519317090511322,0.5250329375267029,0.5264056324958801,0.5273762345314026,0.5229074358940125,0.531281590461731,0.5431448817253113,0.5459349751472473,0.5660573244094849,0.5804774165153503,0.6247171759605408,0.6524912118911743,0.6708109974861145,0.6916173100471497,0.6827573180198669,0.707667350769043,0.6842505931854248,0.6998802423477173,0.6815764307975769,0.6932454705238342,0.6882994771003723,0.7036563158035278,0.7154548764228821,0.7281121015548706,0.818012535572052,0.8397448658943176,0.8335756063461304,0.8574809432029724,0.8412469625473022,0.8571351766586304,-0.11149407923221588,-0.1036151796579361,-0.10368321090936661,-0.10375019162893295,-0.1221739649772644,-0.1222056970000267,-0.1222388967871666,-0.053247399628162384,-0.13671253621578217,-0.08885776996612549,-0.11296993494033813,0.02340751141309738,-0.1624789834022522,0.09197680652141571,-0.1908901035785675,0.0715315192937851,-0.18073593080043793,0.07096664607524872,-0.20075829327106476,0.05035315826535225,-0.20079191029071808,0.06254833936691284,-0.17966052889823914,0.05916363745927811,-0.059056513011455536,-0.019015055149793625,-0.1274755895137787,0.015120081603527069,-0.09001658856868744,0.016572538763284683,-0.08614187687635422,-0.010010307654738426,-0.1155085563659668
